HDR,ROLLING SYSTEM DEMAND
VD,20200111003500,25214
VD,20200111004000,25364
VD,20200111004500,25371
VD,20200111005000,25406
VD,20200111005500,25418
VD,20200111010000,25424
VD,20200111010500,25795
VD,20200111011000,25918
VD,20200111011500,25811
VD,20200111012000,25571
VD,20200111012500,25528
VD,20200111013000,25286
VD,20200111013500,25070
VD,20200111014000,24977
VD,20200111014500,24891
VD,20200111015000,24897
VD,20200111015500,24775
VD,20200111020000,24633
VD,20200111020500,24831
VD,20200111021000,24884
VD,20200111021500,24791
VD,20200111022000,24696
VD,20200111022500,24569
VD,20200111023000,24479
VD,20200111023500,24459
VD,20200111024000,24440
VD,20200111024500,24362
VD,20200111025000,24331
VD,20200111025500,24393
VD,20200111030000,24447
VD,20200111030500,24475
VD,20200111031000,24469
VD,20200111031500,24343
VD,20200111032000,24234
VD,20200111032500,24419
VD,20200111033000,24528
VD,20200111033500,24446
VD,20200111034000,24282
VD,20200111034500,24224
VD,20200111035000,24186
VD,20200111035500,24129
VD,20200111040000,24165
VD,20200111040500,24350
VD,20200111041000,24475
VD,20200111041500,24519
VD,20200111042000,24548
VD,20200111042500,24532
VD,20200111043000,24472
VD,20200111043500,24509
VD,20200111044000,24448
VD,20200111044500,24397
VD,20200111045000,24419
VD,20200111045500,24373
VD,20200111050000,24339
VD,20200111050500,24341
VD,20200111051000,24346
VD,20200111051500,24387
VD,20200111052000,24488
VD,20200111052500,24442
VD,20200111053000,24393
VD,20200111053500,24287
VD,20200111054000,24296
VD,20200111054500,24375
VD,20200111055000,24486
VD,20200111055500,24574
VD,20200111060000,24700
VD,20200111060500,24922
VD,20200111061000,25173
VD,20200111061500,25383
VD,20200111062000,25476
VD,20200111062500,25561
VD,20200111063000,25582
VD,20200111063500,25576
VD,20200111064000,25649
VD,20200111064500,25831
VD,20200111065000,26055
VD,20200111065500,26257
VD,20200111070000,26340
VD,20200111070500,26520
VD,20200111071000,26730
VD,20200111071500,26748
VD,20200111072000,26953
VD,20200111072500,27197
VD,20200111073000,27393
VD,20200111073500,27513
VD,20200111074000,27722
VD,20200111074500,27978
VD,20200111075000,28290
VD,20200111075500,28455
VD,20200111080000,28395
VD,20200111080500,28495
VD,20200111081000,28438
VD,20200111081500,28611
VD,20200111082000,28942
VD,20200111082500,29329
VD,20200111083000,29462
VD,20200111083500,29621
VD,20200111084000,30034
VD,20200111084500,30240
VD,20200111085000,30353
VD,20200111085500,30506
VD,20200111090000,30400
VD,20200111090500,30850
VD,20200111091000,31066
VD,20200111091500,31108
VD,20200111092000,31240
VD,20200111092500,31484
VD,20200111093000,31763
VD,20200111093500,31930
VD,20200111094000,31944
VD,20200111094500,32007
VD,20200111095000,32224
VD,20200111095500,32266
VD,20200111100000,32314
VD,20200111100500,32545
VD,20200111101000,32637
VD,20200111101500,32533
VD,20200111102000,32497
VD,20200111102500,32570
VD,20200111103000,32627
VD,20200111103500,32681
VD,20200111104000,32682
VD,20200111104500,32798
VD,20200111105000,32796
VD,20200111105500,32765
VD,20200111110000,32729
VD,20200111110500,32755
VD,20200111111000,32683
VD,20200111111500,32600
VD,20200111112000,32542
VD,20200111112500,32551
VD,20200111113000,32724
VD,20200111113500,32726
VD,20200111114000,32719
VD,20200111114500,32805
VD,20200111115000,32895
VD,20200111115500,32835
VD,20200111120000,32798
VD,20200111120500,32829
VD,20200111121000,32773
VD,20200111121500,32751
VD,20200111122000,32715
VD,20200111122500,32957
VD,20200111123000,33032
VD,20200111123500,33179
VD,20200111124000,33241
VD,20200111124500,33158
VD,20200111125000,33113
VD,20200111125500,33057
VD,20200111130000,32967
VD,20200111130500,32941
VD,20200111131000,32897
VD,20200111131500,32843
VD,20200111132000,32837
VD,20200111132500,32877
VD,20200111133000,32877
VD,20200111133500,32890
VD,20200111134000,32835
VD,20200111134500,32806
VD,20200111135000,32824
VD,20200111135500,32902
VD,20200111140000,32889
VD,20200111140500,32886
VD,20200111141000,32910
VD,20200111141500,32875
VD,20200111142000,32864
VD,20200111142500,32776
VD,20200111143000,32684
VD,20200111143500,32788
VD,20200111144000,32832
VD,20200111144500,32943
VD,20200111145000,33048
VD,20200111145500,33038
VD,20200111150000,32914
VD,20200111150500,33007
VD,20200111151000,33207
VD,20200111151500,33327
VD,20200111152000,33240
VD,20200111152500,33160
VD,20200111153000,33253
VD,20200111153500,33493
VD,20200111154000,33488
VD,20200111154500,33582
VD,20200111155000,33762
VD,20200111155500,33945
VD,20200111160000,34173
VD,20200111160500,34472
VD,20200111161000,35013
VD,20200111161500,35110
VD,20200111162000,35368
VD,20200111162500,35683
VD,20200111163000,36128
VD,20200111163500,36439
VD,20200111164000,36599
VD,20200111164500,36748
VD,20200111165000,37002
VD,20200111165500,37177
VD,20200111170000,37233
VD,20200111170500,37309
VD,20200111171000,37524
VD,20200111171500,37771
VD,20200111172000,38068
VD,20200111172500,38244
VD,20200111173000,38383
VD,20200111173500,38498
VD,20200111174000,38515
VD,20200111174500,38378
VD,20200111175000,38241
VD,20200111175500,38103
VD,20200111180000,38053
VD,20200111180500,38240
VD,20200111181000,38222
VD,20200111181500,38112
VD,20200111182000,37987
VD,20200111182500,38014
VD,20200111183000,37944
VD,20200111183500,37754
VD,20200111184000,37546
VD,20200111184500,37387
VD,20200111185000,37029
VD,20200111185500,36806
VD,20200111190000,36666
VD,20200111190500,36647
VD,20200111191000,36454
VD,20200111191500,36295
VD,20200111192000,36074
VD,20200111192500,35937
VD,20200111193000,35756
VD,20200111193500,35753
VD,20200111194000,35496
VD,20200111194500,35383
VD,20200111195000,35199
VD,20200111195500,35038
VD,20200111200000,34836
VD,20200111200500,34559
VD,20200111201000,34495
VD,20200111201500,34402
VD,20200111202000,34161
VD,20200111202500,34043
VD,20200111203000,33896
VD,20200111203500,33798
VD,20200111204000,33660
VD,20200111204500,33377
VD,20200111205000,33170
VD,20200111205500,33007
VD,20200111210000,32868
VD,20200111210500,32534
VD,20200111211000,32328
VD,20200111211500,32079
VD,20200111212000,31741
VD,20200111212500,31376
VD,20200111213000,31148
VD,20200111213500,30992
VD,20200111214000,30815
VD,20200111214500,30609
VD,20200111215000,30413
VD,20200111215500,30264
VD,20200111220000,30103
VD,20200111220500,29766
VD,20200111221000,29529
VD,20200111221500,29016
VD,20200111222000,28823
VD,20200111222500,28691
VD,20200111223000,28523
VD,20200111223500,28354
VD,20200111224000,28176
VD,20200111224500,27941
VD,20200111225000,27631
VD,20200111225500,27506
VD,20200111230000,27336
VD,20200111230500,27035
VD,20200111231000,26963
VD,20200111231500,26754
VD,20200111232000,26639
VD,20200111232500,26584
VD,20200111233000,26423
VD,20200111233500,26317
VD,20200111234000,26230
VD,20200111234500,26164
VD,20200111235000,25982
VD,20200111235500,25897
VD,20200112000000,25789
VD,20200112000500,25818
VD,20200112001000,25707
VD,20200112001500,25598
VD,20200112002000,25631
VD,20200112002500,25508
VD,20200112003000,25437
VD,20200112003500,25573
VD,20200112004000,25624
VD,20200112004500,25602
VD,20200112005000,25591
VD,20200112005500,25538
VD,20200112010000,25536
VD,20200112010500,25662
VD,20200112011000,25672
VD,20200112011500,25596
VD,20200112012000,25462
VD,20200112012500,25276
VD,20200112013000,25116
VD,20200112013500,25073
VD,20200112014000,25100
VD,20200112014500,25042
VD,20200112015000,24939
VD,20200112015500,24797
VD,20200112020000,24739
VD,20200112020500,24800
VD,20200112021000,24894
VD,20200112021500,24948
VD,20200112022000,24956
VD,20200112022500,24898
VD,20200112023000,24869
VD,20200112023500,24908
VD,20200112024000,24868
VD,20200112024500,24772
VD,20200112025000,24692
VD,20200112025500,24552
VD,20200112030000,24479
VD,20200112030500,24380
VD,20200112031000,24332
VD,20200112031500,24353
VD,20200112032000,24275
VD,20200112032500,24240
VD,20200112033000,24187
VD,20200112033500,24183
VD,20200112034000,24092
VD,20200112034500,23945
VD,20200112035000,23875
VD,20200112035500,23834
VD,20200112040000,23774
VD,20200112040500,23699
VD,20200112041000,23686
VD,20200112041500,23784
VD,20200112042000,23910
VD,20200112042500,23915
VD,20200112043000,23888
VD,20200112043500,23907
VD,20200112044000,23928
VD,20200112044500,23803
VD,20200112045000,23819
VD,20200112045500,23916
VD,20200112050000,23910
VD,20200112050500,23807
VD,20200112051000,23842
VD,20200112051500,23886
VD,20200112052000,23823
VD,20200112052500,23859
VD,20200112053000,23950
VD,20200112053500,23967
VD,20200112054000,23949
VD,20200112054500,23750
VD,20200112055000,23664
VD,20200112055500,23642
VD,20200112060000,23701
VD,20200112060500,23814
VD,20200112061000,23974
VD,20200112061500,24073
VD,20200112062000,24162
VD,20200112062500,24278
VD,20200112063000,24338
VD,20200112063500,24409
VD,20200112064000,24485
VD,20200112064500,24575
VD,20200112065000,24667
VD,20200112065500,24803
VD,20200112070000,25091
VD,20200112070500,25564
VD,20200112071000,25741
VD,20200112071500,25909
VD,20200112072000,26069
VD,20200112072500,26206
VD,20200112073000,26577
VD,20200112073500,26631
VD,20200112074000,26116
VD,20200112074500,26045
VD,20200112075000,26111
VD,20200112075500,26200
VD,20200112080000,26307
VD,20200112080500,26796
VD,20200112081000,27070
VD,20200112081500,27200
VD,20200112082000,27484
VD,20200112082500,27681
VD,20200112083000,27891
VD,20200112083500,28119
VD,20200112084000,28409
VD,20200112084500,28657
VD,20200112085000,28748
VD,20200112085500,28931
VD,20200112090000,29268
VD,20200112090500,29619
VD,20200112091000,29759
VD,20200112091500,29890
VD,20200112092000,29863
VD,20200112092500,29957
VD,20200112093000,30034
VD,20200112093500,30202
VD,20200112094000,30482
VD,20200112094500,30719
VD,20200112095000,31066
VD,20200112095500,31321
VD,20200112100000,31449
VD,20200112100500,31735
VD,20200112101000,31792
VD,20200112101500,31871
VD,20200112102000,31904
VD,20200112102500,31920
VD,20200112103000,31927
VD,20200112103500,31912
VD,20200112104000,31910
VD,20200112104500,32014
VD,20200112105000,32087
VD,20200112105500,32110
VD,20200112110000,32089
VD,20200112110500,32145
VD,20200112111000,32203
VD,20200112111500,32271
VD,20200112112000,32403
VD,20200112112500,32353
VD,20200112113000,32353
VD,20200112113500,32353
VD,20200112114000,32445
VD,20200112114500,32530
VD,20200112115000,32652
VD,20200112115500,32767
VD,20200112120000,32778
VD,20200112120500,32837
VD,20200112121000,32937
VD,20200112121500,33052
VD,20200112122000,33127
VD,20200112122500,33139
VD,20200112123000,33117
VD,20200112123500,33042
VD,20200112124000,32907
VD,20200112124500,32808
VD,20200112125000,32879
VD,20200112125500,32939
VD,20200112130000,32923
VD,20200112130500,33204
VD,20200112131000,33157
VD,20200112131500,32997
VD,20200112132000,32956
VD,20200112132500,32912
VD,20200112133000,32956
VD,20200112133500,32985
VD,20200112134000,32916
VD,20200112134500,32894
VD,20200112135000,32931
VD,20200112135500,32995
VD,20200112140000,33123
VD,20200112140500,33253
VD,20200112141000,33139
VD,20200112141500,33068
VD,20200112142000,33037
VD,20200112142500,32966
VD,20200112143000,32992
VD,20200112143500,33052
VD,20200112144000,33113
VD,20200112144500,33272
VD,20200112145000,33391
VD,20200112145500,33486
VD,20200112150000,33706
VD,20200112150500,33976
VD,20200112151000,34300
VD,20200112151500,34546
VD,20200112152000,34796
VD,20200112152500,34923
VD,20200112153000,35097
VD,20200112153500,35422
VD,20200112154000,35563
VD,20200112154500,35821
VD,20200112155000,36189
VD,20200112155500,36452
VD,20200112160000,36712
VD,20200112160500,37132
VD,20200112161000,37443
VD,20200112161500,37811
VD,20200112162000,38041
VD,20200112162500,38482
VD,20200112163000,38878
VD,20200112163500,39192
VD,20200112164000,39613
VD,20200112164500,39935
VD,20200112165000,40345
VD,20200112165500,40783
VD,20200112170000,41075
VD,20200112170500,41091
VD,20200112171000,41176
VD,20200112171500,41212
VD,20200112172000,41352
VD,20200112172500,41525
VD,20200112173000,41590
VD,20200112173500,41511
VD,20200112174000,41448
VD,20200112174500,41280
VD,20200112175000,41245
VD,20200112175500,41219
VD,20200112180000,40979
VD,20200112180500,40883
VD,20200112181000,40820
VD,20200112181500,40748
VD,20200112182000,40646
VD,20200112182500,40489
VD,20200112183000,40399
VD,20200112183500,40364
VD,20200112184000,40146
VD,20200112184500,39857
VD,20200112185000,39672
VD,20200112185500,39341
VD,20200112190000,38987
VD,20200112190500,38772
VD,20200112191000,38606
VD,20200112191500,38416
VD,20200112192000,38301
VD,20200112192500,38122
VD,20200112193000,37862
VD,20200112193500,37651
VD,20200112194000,37429
VD,20200112194500,37250
VD,20200112195000,36849
VD,20200112195500,36745
VD,20200112200000,36788
VD,20200112200500,36503
VD,20200112201000,36256
VD,20200112201500,35905
VD,20200112202000,35662
VD,20200112202500,35489
VD,20200112203000,35282
VD,20200112203500,35127
VD,20200112204000,34772
VD,20200112204500,34449
VD,20200112205000,34205
VD,20200112205500,34056
VD,20200112210000,33900
VD,20200112210500,33640
VD,20200112211000,33387
VD,20200112211500,32908
VD,20200112212000,32454
VD,20200112212500,32462
VD,20200112213000,32212
VD,20200112213500,31825
VD,20200112214000,31601
VD,20200112214500,31277
VD,20200112215000,30917
VD,20200112215500,30551
VD,20200112220000,30370
VD,20200112220500,30145
VD,20200112221000,29901
VD,20200112221500,29587
VD,20200112222000,29239
VD,20200112222500,28969
VD,20200112223000,28773
VD,20200112223500,28578
VD,20200112224000,28339
VD,20200112224500,28135
VD,20200112225000,27854
VD,20200112225500,27451
VD,20200112230000,27046
VD,20200112230500,26614
VD,20200112231000,26541
VD,20200112231500,26290
VD,20200112232000,25965
VD,20200112232500,25795
VD,20200112233000,25751
VD,20200112233500,25540
VD,20200112234000,25284
VD,20200112234500,25141
VD,20200112235000,25005
VD,20200112235500,24909
FTR,1728
